   Vx       Vy       Vz      |V|    
-403.39   -13.84   26.08    404.47 
-403.39   -13.84   26.08    404.47 
-416.34   -3.43    45.76    418.86 
-415.69   -5.54    47.30    418.41 
-415.04   -7.64    48.84    417.97 
-414.38   -9.74    50.37    417.54 
-413.73   -11.85   51.91    417.14 
-413.41   -11.04   48.70    416.41 
-413.08   -10.23   45.50    415.70 
-412.75   -9.42    42.29    415.02 
-412.43   -8.61    39.08    414.37 
-412.43   -8.61    39.08    414.37 
-412.43   -8.61    39.08    414.37 
-412.43   -8.61    39.08    414.37 
-414.36   -14.72   39.52    416.50 
-414.36   -14.72   39.52    416.50 
-414.36   -14.72   39.52    416.50 
-414.36   -14.72   39.52    416.50 
-413.08   -9.16    51.55    416.38 
-412.85   -9.56    51.45    416.15 
-412.62   -9.97    51.34    415.92 
-412.38   -10.38   51.24    415.68 
-412.15   -10.78   51.13    415.45 
-412.15   -10.78   51.13    415.45 
-412.15   -10.78   51.13    415.45 
-412.15   -10.78   51.13    415.45 
-412.15   -10.78   51.13    415.45 
-412.15   -10.78   51.13    415.45 
-412.15   -10.78   51.13    415.45 
-412.15   -10.78   51.13    415.45 
-412.15   -10.78   51.13    415.45 
-412.15   -10.78   51.13    415.45 
-412.15   -10.78   51.13    415.45 
-412.15   -10.78   51.13    415.45 
-414.48   -8.98    60.09    418.91 
-412.65   -7.89    61.99    417.35 
-410.82   -6.80    63.89    415.81 
-408.99   -5.71    65.79    414.29 
-407.16   -4.62    67.69    412.77 
-407.16   -4.62    67.69    412.77 
-407.16   -4.62    67.69    412.77 
-407.16   -4.62    67.69    412.77 
-409.66   -7.01    54.46    413.32 
-409.66   -7.01    54.46    413.32 
-409.66   -7.01    54.46    413.32 
-409.66   -7.01    54.46    413.32 
-418.55   -0.84    48.84    421.39 
-418.11   -0.53    51.55    421.28 
-417.67   -0.22    54.26    421.18 
-417.23    0.09    56.97    421.10 
-416.80    0.40    59.68    421.05 
-416.09   -1.49    61.67    420.64 
-415.39   -3.38    63.67    420.25 
-414.68   -5.27    65.66    419.88 
-413.98   -7.16    67.66    419.53 
-413.75   -6.08    68.21    419.38 
-413.53   -5.00    68.77    419.24 
-413.30   -3.93    69.33    419.09 
-413.07   -2.85    69.89    418.95 
-413.07   -2.85    69.89    418.95 
-413.07   -2.85    69.89    418.95 
-413.07   -2.85    69.89    418.95 
-413.99   -12.22   74.15    420.76 
-413.99   -12.22   74.15    420.76 
-413.99   -12.22   74.15    420.76 
-413.99   -12.22   74.15    420.76 
-416.95   -3.24    75.47    423.74 
-416.47   -2.09    74.87    423.15 
-416.00   -0.94    74.26    422.58 
-415.52    0.21    73.65    422.00 
-415.05    1.36    73.05    421.43 
-414.80    0.22    73.40    421.24 
-414.55   -0.93    73.76    421.06 
-414.29   -2.08    74.11    420.87 
-414.04   -3.22    74.47    420.70 
-413.79   -2.66    73.97    420.36 
-413.54   -2.09    73.48    420.02 
-413.29   -1.53    72.98    419.69 
-413.04   -0.96    72.48    419.35 
-413.04   -0.96    72.48    419.35 
-413.04   -0.96    72.48    419.35 
-413.04   -0.96    72.48    419.35 
-413.81   -5.06    73.74    420.36 
-413.41   -4.74    72.98    419.83 
-413.01   -4.43    72.22    419.30 
-412.62   -4.11    71.46    418.78 
-412.22   -3.80    70.70    418.26 
-410.94   -2.46    69.88    416.85 
-409.66   -1.11    69.07    415.44 
-408.37    0.23    68.25    414.03 
-407.09    1.58    67.43    412.64 
-406.96    0.52    65.05    412.13 
-406.82   -0.54    62.67    411.62 
-406.69   -1.59    60.28    411.14 
-406.55   -2.65    57.90    410.66 
-406.13   -1.66    58.88    410.38 
-405.70   -0.68    59.87    410.09 
-405.27    0.31    60.85    409.81 
-404.85    1.30    61.83    409.55 
-404.85    1.30    61.83    409.55 
-404.85    1.30    61.83    409.55 
-404.85    1.30    61.83    409.55 
-404.84   -1.56    69.07    410.69 
-404.84   -1.56    69.07    410.69 
-404.84   -1.56    69.07    410.69 
-404.84   -1.56    69.07    410.69 
-407.85   -3.43    67.52    413.42 
-407.63   -2.78    65.07    412.80 
-407.40   -2.14    62.62    412.19 
-407.17   -1.50    60.18    411.60 
-406.95   -0.85    57.73    411.03 
-406.95   -0.85    57.73    411.03 
-406.95   -0.85    57.73    411.03 
-406.95   -0.85    57.73    411.03 
-407.65   -2.44    62.17    412.37 
-407.13   -3.38    64.07    412.15 
-406.61   -4.32    65.98    411.95 
-406.09   -5.26    67.89    411.76 
-405.58   -6.20    69.79    411.59 
-405.58   -6.20    69.79    411.59 
-405.58   -6.20    69.79    411.59 
-405.58   -6.20    69.79    411.59 
